feature_name,task_source,threshold_method,baseline_min,baseline_mean,baseline_max,baseline_range,baseline_std,current_value,raw_delta,normalized_delta,z_score,abs_z_score,sd_deviation_score_0_100,sd_severity_band,sd_color,distance_from_baseline_mean,range_excess,effective_reference_width,threshold_status,reference_position,range_deviation_score_0_100,range_band,range_color,final_severity_source,deviation_score_0_100,band,color
f0_mean_hz,"['step2_sustained_phonation', 'step3a_counting_natural', 'step3b_counting_slow', 'step4_reading']",personal_z_score_primary_with_min_max_modifier,89.452333,102.495898,118.230563,28.77823,8.179046,97.852484,-4.643414,-0.567721,-0.567721,0.567721,14.193018,Minimal Shift,light_green,4.643414,0.0,15.734665,inside_personal_baseline_range,within_range_below_mean,2.951073,Baseline Consistent,green,sd_z_score,14.193018,Minimal Shift,light_green
hnr_db,"['step2_sustained_phonation', 'step3a_counting_natural', 'step3b_counting_slow', 'step4_reading']",personal_z_score_primary_with_min_max_modifier,-2.5168,1.838957,8.745197,11.261997,3.406826,2.148889,0.309932,0.090974,0.090974,0.090974,2.274346,Baseline Consistent,green,0.309932,0.0,6.90624,inside_personal_baseline_range,within_range_above_mean,0.448771,Baseline Consistent,green,sd_z_score,2.274346,Baseline Consistent,green
spectral_centroid_hz,"['step2_sustained_phonation', 'step3a_counting_natural', 'step3b_counting_slow', 'step4_reading']",personal_z_score_primary_with_min_max_modifier,352.068907,532.98053,718.359771,366.290864,135.184331,504.573315,-28.407215,-0.210137,-0.210137,0.210137,5.253422,Baseline Consistent,green,28.407215,0.0,185.379241,inside_personal_baseline_range,within_range_below_mean,1.532384,Baseline Consistent,green,sd_z_score,5.253422,Baseline Consistent,green
spectral_bandwidth_hz,"['step2_sustained_phonation', 'step3a_counting_natural', 'step3b_counting_slow', 'step4_reading']",personal_z_score_primary_with_min_max_modifier,405.04665,535.895749,669.002793,263.956143,84.380041,698.853198,162.957449,1.931232,1.931232,1.931232,48.280804,Moderate Pattern Shift,orange,162.957449,29.850405,133.107044,outside_personal_baseline_range,above_personal_baseline_range,18.970346,Minimal Shift,light_green,sd_z_score,48.280804,Moderate Pattern Shift,orange
jitter_local,['step2_sustained_phonation'],personal_z_score_primary_with_min_max_modifier,0.003026,0.003535,0.003884,0.000858,0.000368,0.003696,0.000161,0.4375,0.4375,0.4375,10.9375,Baseline Consistent,green,0.000161,0.0,0.000509,inside_personal_baseline_range,within_range_above_mean,3.163065,Baseline Consistent,green,sd_z_score,10.9375,Baseline Consistent,green
shimmer_local,['step2_sustained_phonation'],personal_z_score_primary_with_min_max_modifier,0.60334,0.646962,0.708724,0.105384,0.044894,0.72851,0.081548,1.816457,1.816457,1.816457,45.411414,Moderate Pattern Shift,orange,0.081548,0.019786,0.061762,outside_personal_baseline_range,above_personal_baseline_range,22.814352,Minimal Shift,light_green,sd_z_score,45.411414,Moderate Pattern Shift,orange
zero_crossing_rate,"['step2_sustained_phonation', 'step3a_counting_natural', 'step3b_counting_slow', 'step4_reading']",personal_z_score_primary_with_min_max_modifier,0.035458,0.05062,0.086698,0.05124,0.015687,0.041883,-0.008737,-0.55699,-0.55699,0.55699,13.924747,Minimal Shift,light_green,0.008737,0.0,0.036078,inside_personal_baseline_range,within_range_below_mean,2.421836,Baseline Consistent,green,sd_z_score,13.924747,Minimal Shift,light_green
envelope_variance,"['step3a_counting_natural', 'step3b_counting_slow', 'step4_reading']",personal_z_score_primary_with_min_max_modifier,0.005725,0.00956,0.017514,0.011789,0.003299,0.009898,0.000338,0.102354,0.102354,0.102354,2.558856,Baseline Consistent,green,0.000338,0.0,0.007954,inside_personal_baseline_range,within_range_above_mean,0.424524,Baseline Consistent,green,sd_z_score,2.558856,Baseline Consistent,green
tremor_band_power_3_12hz,['step2_sustained_phonation'],personal_z_score_primary_with_min_max_modifier,475835.540161,1925553.957365,3542022.022155,3066186.481994,1257306.371923,3933252.608024,2007698.650659,1.596825,1.596825,1.596825,39.920633,Moderate Pattern Shift,orange,2007698.650659,391230.585869,1616468.06479,outside_personal_baseline_range,above_personal_baseline_range,19.681121,Minimal Shift,light_green,sd_z_score,39.920633,Moderate Pattern Shift,orange
approximate_entropy,"['step3a_counting_natural', 'step3b_counting_slow', 'step4_reading']",personal_z_score_primary_with_min_max_modifier,0.06144,0.928159,1.364,1.30256,0.487825,0.1306,-0.797559,-1.634929,-1.634929,1.634929,40.873213,Moderate Pattern Shift,orange,0.797559,0.0,0.866719,inside_personal_baseline_range,within_range_below_mean,9.202048,Baseline Consistent,green,sd_z_score,40.873213,Moderate Pattern Shift,orange
sample_entropy,"['step3a_counting_natural', 'step3b_counting_slow', 'step4_reading']",personal_z_score_primary_with_min_max_modifier,0.01218,1.178028,2.084284,2.072104,0.813393,0.059702,-1.118326,-1.374891,-1.374891,1.374891,34.372263,Mild Pattern Shift,yellow,1.118326,0.0,1.165848,inside_personal_baseline_range,within_range_below_mean,9.592385,Baseline Consistent,green,sd_z_score,34.372263,Mild Pattern Shift,yellow
fractal_dimension,"['step3a_counting_natural', 'step3b_counting_slow', 'step4_reading']",personal_z_score_primary_with_min_max_modifier,-14.78435,-3.998252,-1.1638,13.62055,4.50792,-5.80539,-1.807138,-0.400881,-0.400881,0.400881,10.022017,Baseline Consistent,green,1.807138,0.0,10.786098,inside_personal_baseline_range,within_range_below_mean,1.675433,Baseline Consistent,green,sd_z_score,10.022017,Baseline Consistent,green
