approximate_entropy,baseline_run_timestamp,duration_sec,envelope_variance,f0_mean_hz,f0_mean_hz_method,f0_mean_hz_note,f0_mean_hz_scoring_status,formant_f1_hz,formant_f2_hz,formant_f3_hz,fractal_dimension,hnr_db,hnr_db_method,hnr_db_note,hnr_db_scoring_status,jitter_local,jitter_local_method,jitter_local_note,jitter_local_valid,lyapunov_proxy,phonation_stability_exhalation,phonation_stability_exhalation_method,phonation_stability_exhalation_note,phonation_stability_exhalation_scoring_status,recording_key,resp_amp_variance,resp_sync_lag_method,resp_sync_lag_note,resp_sync_lag_sec,resp_sync_lag_valid,sample_entropy,session_id,session_processed_timestamp,shimmer_local,shimmer_local_method,shimmer_local_note,shimmer_local_scoring_status,spectral_bandwidth_hz,spectral_centroid_hz,tremor_band_power_3_12hz,zero_crossing_rate
1.334113,2026-07-06 16:55:55,11.54,0.002316,81.066176,autocorrelation pitch estimate,Feature calculated normally.,valid,219.666667,1218.0,1802.0,-3.917813,-9.367558,periodicity-based HNR proxy,Feature calculated normally.,valid,,Praat-Parselmouth local jitter,Praat returned a non-finite jitter value.,False,0.007638,0.008589,speech-envelope exhalation stability proxy,Feature calculated normally.,valid,step1_silence_pre,0.000253,audio-envelope breath-voice timing proxy,No measurable lag detected by the current audio-only proxy.,,False,2.059022,Frank Session 1,2026-07-06 16:55:55,0.61791,cycle-amplitude shimmer proxy,Feature calculated normally.,valid,618.01265,900.206672,96485.023805,0.050076
1.268847,2026-07-06 16:55:55,24.68,0.020668,96.28821,autocorrelation pitch estimate,Feature calculated normally.,valid,577.333333,855.666667,2654.333333,-1.397543,3.09167,periodicity-based HNR proxy,Feature calculated normally.,valid,0.003884,Praat-Parselmouth local jitter,Calculated from sustained phonation when that task is selected.,True,0.005447,0.036413,speech-envelope exhalation stability proxy,Feature calculated normally.,valid,step2_sustained_phonation,0.006123,audio-envelope breath-voice timing proxy,No measurable lag detected by the current audio-only proxy.,,False,1.918147,Frank Session 1,2026-07-06 16:55:55,0.628822,cycle-amplitude shimmer proxy,Feature calculated normally.,valid,525.09793,688.38741,3542022.022155,0.040975
1.313952,2026-07-06 16:55:55,13.67,0.011445,95.661605,autocorrelation pitch estimate,Feature calculated normally.,valid,474.333333,852.333333,2821.333333,-1.289205,-0.392684,periodicity-based HNR proxy,Feature calculated normally.,valid,0.013422,Praat-Parselmouth local jitter,Calculated from sustained phonation when that task is selected.,True,0.003993,0.078645,speech-envelope exhalation stability proxy,Feature calculated normally.,valid,step3a_counting_natural,0.003366,audio-envelope breath-voice timing proxy,Measurable audio-envelope lag detected.,0.001179,True,2.01442,Frank Session 1,2026-07-06 16:55:55,0.505506,cycle-amplitude shimmer proxy,Feature calculated normally.,valid,485.910752,414.82393,3418099.473463,0.038783
0.06144,2026-07-06 16:55:55,14.27,0.009571,95.661605,autocorrelation pitch estimate,Feature calculated normally.,valid,479.0,865.666667,2688.333333,-8.931012,0.313135,periodicity-based HNR proxy,Feature calculated normally.,valid,0.023301,Praat-Parselmouth local jitter,Calculated from sustained phonation when that task is selected.,True,0.013832,0.086737,speech-envelope exhalation stability proxy,Feature calculated normally.,valid,step3b_counting_slow,0.003161,audio-envelope breath-voice timing proxy,No measurable lag detected by the current audio-only proxy.,,False,0.01218,Frank Session 1,2026-07-06 16:55:55,0.431053,cycle-amplitude shimmer proxy,Feature calculated normally.,valid,405.04665,420.239573,4571198.265392,0.06898
1.297372,2026-07-06 16:55:55,36.12,0.008574,100.0,autocorrelation pitch estimate,Feature calculated normally.,valid,492.333333,890.0,2689.666667,-1.177484,-0.551392,periodicity-based HNR proxy,Feature calculated normally.,valid,0.018708,Praat-Parselmouth local jitter,Calculated from sustained phonation when that task is selected.,True,0.00265,0.061715,speech-envelope exhalation stability proxy,Feature calculated normally.,valid,step4_reading,0.003696,audio-envelope breath-voice timing proxy,Measurable audio-envelope lag detected.,0.004921,True,1.842651,Frank Session 1,2026-07-06 16:55:55,0.503212,cycle-amplitude shimmer proxy,Feature calculated normally.,valid,640.747562,596.126392,743216.35386,0.086698
1.29969,2026-07-06 16:55:55,11.45,0.002171,80.327869,autocorrelation pitch estimate,Feature calculated normally.,valid,994.666667,1042.666667,1832.0,-4.361473,-4.613619,periodicity-based HNR proxy,Feature calculated normally.,valid,0.058459,Praat-Parselmouth local jitter,Calculated from sustained phonation when that task is selected.,True,0.012728,0.007803,speech-envelope exhalation stability proxy,Feature calculated normally.,valid,step5_silence_post,0.000133,audio-envelope breath-voice timing proxy,No measurable lag detected by the current audio-only proxy.,,False,1.940102,Frank Session 1,2026-07-06 16:55:55,0.569832,cycle-amplitude shimmer proxy,Feature calculated normally.,valid,961.591448,846.421294,118655.998898,0.052585
1.297043,2026-07-06 16:55:55,11.54,0.000136,77.777778,autocorrelation pitch estimate,Feature calculated normally.,valid,253.333333,1780.333333,3264.0,-2.069554,-7.106572,periodicity-based HNR proxy,Feature calculated normally.,valid,,Praat-Parselmouth local jitter,Praat returned a non-finite jitter value.,False,0.010536,0.002252,speech-envelope exhalation stability proxy,Feature calculated normally.,valid,step1_silence_pre,8e-06,audio-envelope breath-voice timing proxy,No measurable lag detected by the current audio-only proxy.,,False,1.963252,Frank Session 2,2026-07-06 16:57:16,0.494032,cycle-amplitude shimmer proxy,Feature calculated normally.,valid,1037.649461,617.438377,16616.626743,0.054785
1.321235,2026-07-06 16:55:55,18.54,0.022,118.230563,autocorrelation pitch estimate,Feature calculated normally.,valid,593.0,1181.0,2721.0,-1.280803,8.745197,periodicity-based HNR proxy,Feature calculated normally.,valid,0.003696,Praat-Parselmouth local jitter,Calculated from sustained phonation when that task is selected.,True,0.003268,0.033619,speech-envelope exhalation stability proxy,Feature calculated normally.,valid,step2_sustained_phonation,0.0098,audio-envelope breath-voice timing proxy,No measurable lag detected by the current audio-only proxy.,,False,1.779337,Frank Session 2,2026-07-06 16:57:16,0.708724,cycle-amplitude shimmer proxy,Feature calculated normally.,valid,444.624338,713.563904,1758804.309779,0.050492
1.066239,2026-07-06 16:55:55,9.92,0.008347,100.455581,autocorrelation pitch estimate,Feature calculated normally.,valid,201.666667,904.0,2709.0,-2.144145,4.141288,periodicity-based HNR proxy,Feature calculated normally.,valid,0.010592,Praat-Parselmouth local jitter,Calculated from sustained phonation when that task is selected.,True,0.000807,0.070966,speech-envelope exhalation stability proxy,Feature calculated normally.,valid,step3a_counting_natural,0.002381,audio-envelope breath-voice timing proxy,Measurable audio-envelope lag detected.,0.000181,True,0.987085,Frank Session 2,2026-07-06 16:57:16,0.488713,cycle-amplitude shimmer proxy,Feature calculated normally.,valid,544.139571,513.320267,3276885.069782,0.04737
1.364,2026-07-06 16:55:55,13.08,0.008246,107.560976,autocorrelation pitch estimate,Feature calculated normally.,valid,480.666667,1155.333333,2816.333333,-1.210327,0.105637,periodicity-based HNR proxy,Feature calculated normally.,valid,0.01543,Praat-Parselmouth local jitter,Calculated from sustained phonation when that task is selected.,True,0.009658,0.066916,speech-envelope exhalation stability proxy,Feature calculated normally.,valid,step3b_counting_slow,0.003892,audio-envelope breath-voice timing proxy,No measurable lag detected by the current audio-only proxy.,,False,1.860752,Frank Session 2,2026-07-06 16:57:16,0.459456,cycle-amplitude shimmer proxy,Feature calculated normally.,valid,450.789511,352.068907,429169.996061,0.043802
1.185028,2026-07-06 16:55:55,37.05,0.005725,116.666667,autocorrelation pitch estimate,Feature calculated normally.,valid,593.0,1485.666667,2739.333333,-1.227573,2.143676,periodicity-based HNR proxy,Feature calculated normally.,valid,0.009926,Praat-Parselmouth local jitter,Calculated from sustained phonation when that task is selected.,True,0.005456,0.094968,speech-envelope exhalation stability proxy,Feature calculated normally.,valid,step4_reading,0.002075,audio-envelope breath-voice timing proxy,Measurable audio-envelope lag detected.,0.001429,True,1.45663,Frank Session 2,2026-07-06 16:57:16,0.638903,cycle-amplitude shimmer proxy,Feature calculated normally.,valid,596.169865,718.359771,150091.194082,0.072102
1.328657,2026-07-06 16:55:55,11.11,8.4e-05,112.5,autocorrelation pitch estimate,Feature calculated normally.,valid,237.333333,1543.0,3264.0,-1.935297,-8.122775,periodicity-based HNR proxy,Feature calculated normally.,valid,,Praat-Parselmouth local jitter,Praat returned a non-finite jitter value.,False,0.009778,0.001779,speech-envelope exhalation stability proxy,Feature calculated normally.,valid,step5_silence_post,4e-06,audio-envelope breath-voice timing proxy,No measurable lag detected by the current audio-only proxy.,,False,2.165495,Frank Session 2,2026-07-06 16:57:16,0.520983,cycle-amplitude shimmer proxy,Feature calculated normally.,valid,992.13058,591.107844,7805.93348,0.058957
1.337436,2026-07-06 16:55:55,11.03,0.000591,102.083333,autocorrelation pitch estimate,Feature calculated normally.,valid,212.666667,944.0,3359.666667,-2.658873,-9.302309,periodicity-based HNR proxy,Feature calculated normally.,valid,0.051704,Praat-Parselmouth local jitter,Calculated from sustained phonation when that task is selected.,True,0.00973,0.004169,speech-envelope exhalation stability proxy,Feature calculated normally.,valid,step1_silence_pre,3.6e-05,audio-envelope breath-voice timing proxy,No measurable lag detected by the current audio-only proxy.,,False,2.040354,Frank Session 3,2026-07-06 16:58:57,0.500607,cycle-amplitude shimmer proxy,Feature calculated normally.,valid,1110.403095,667.848327,50780.840334,0.059025
0.015952,2026-07-06 16:55:55,20.67,0.013296,100.684932,autocorrelation pitch estimate,Feature calculated normally.,valid,599.0,1098.0,2616.0,-7.10217,8.013129,periodicity-based HNR proxy,Feature calculated normally.,valid,0.003026,Praat-Parselmouth local jitter,Calculated from sustained phonation when that task is selected.,True,0.013733,0.022061,speech-envelope exhalation stability proxy,Feature calculated normally.,valid,step2_sustained_phonation,0.005051,audio-envelope breath-voice timing proxy,No measurable lag detected by the current audio-only proxy.,,False,0.016748,Frank Session 3,2026-07-06 16:58:57,0.60334,cycle-amplitude shimmer proxy,Feature calculated normally.,valid,493.513458,693.595491,475835.540161,0.037211
